price,location
10,sanantonio
10,sanantonio
250,sfbay
250,sfbay
90,sfbay
90,sfbay
35,sfbay
35,sfbay
200,sfbay
200,sfbay
39500,sfbay
39500,sfbay
10800,sfbay
10800,sfbay
39900,dallas
14995,dallas
14995,dallas
15995,dallas
15995,dallas
19995,dallas
19995,dallas
15995,dallas
15995,dallas
19995,dallas
19995,dallas
15995,dallas
15995,dallas
46995,dallas
46995,dallas
15995,dallas
15995,dallas
19799,losangeles
19799,losangeles
350,losangeles
350,losangeles
3699,losangeles
27995,phoenix
33900,phoenix
33900,phoenix
89950,phoenix
89950,phoenix
19900,phoenix
19900,phoenix
24995,phoenix
24995,phoenix
19900,phoenix
19900,phoenix
21900,phoenix
21900,phoenix
46255,phoenix
46255,phoenix
42000,phoenix
42000,phoenix
13995,phoenix
25,newyork
49,newyork
49,newyork
135,newyork
135,newyork
310,newyork
310,newyork
310,newyork
310,newyork
20000,newyork
20000,newyork
2680,newyork
2680,newyork
18000,newyork
18000,newyork
900,newyork
900,newyork
1543,newyork
750,philadelphia
51000,philadelphia
51000,philadelphia
5995,philadelphia
5995,philadelphia
9500,philadelphia
9500,philadelphia
10500,philadelphia
10500,philadelphia
450,philadelphia
450,philadelphia
2500,philadelphia
2500,philadelphia
997,philadelphia
997,philadelphia
85000,chicago
85000,chicago
1,chicago
1,chicago
15,chicago
15,chicago
10,chicago
10,chicago
1,chicago
1,chicago
1,chicago
1,chicago
7999,chicago
7999,chicago
395,sandiego
100,sandiego
100,sandiego
45,sandiego
45,sandiego
60,sandiego
30000,sfbay
30000,sfbay
100,sfbay
100,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
350,sfbay
8,sfbay
8,sfbay
8,sfbay
8,sfbay
40,sfbay
40,sfbay
46995,dallas
46995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
15995,dallas
15995,dallas
15995,dallas
15995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
3699,losangeles
3699,losangeles
3699,losangeles
1,losangeles
1,losangeles
1,losangeles
1,losangeles
1200,losangeles
1200,losangeles
1,losangeles
1,losangeles
1500,losangeles
1500,losangeles
5000,losangeles
5000,losangeles
225000,losangeles
225000,losangeles
175,losangeles
175,losangeles
13995,phoenix
59910,phoenix
59910,phoenix
18995,phoenix
18995,phoenix
59910,phoenix
59910,phoenix
24900,phoenix
1543,newyork
18000,newyork
18000,newyork
20,newyork
20,newyork
6000,newyork
6000,newyork
7000,newyork
7000,newyork
8000,newyork
8000,newyork
6900,newyork
100,philadelphia
100,philadelphia
27990,philadelphia
27990,philadelphia
1995,philadelphia
1995,philadelphia
1000,philadelphia
1000,philadelphia
40,philadelphia
40,philadelphia
50,philadelphia
50,philadelphia
200,philadelphia
200,philadelphia
125,philadelphia
125,philadelphia
8000,philadelphia
8000,philadelphia
11000,philadelphia
60,chicago
60,chicago
39,chicago
39,chicago
39,chicago
39,chicago
2400,chicago
2400,chicago
2,chicago
2,chicago
2,chicago
2,chicago
60,chicago
60,chicago
8500,chicago
60,sandiego
18500,sandiego
18500,sandiego
23500,sandiego
23500,sandiego
500,sandiego
500,sandiego
2095,sandiego
2095,sandiego
175,sandiego
175,sandiego
50,sandiego
50,sandiego
75,sandiego
75,sandiego
75,sandiego
75,sandiego
75,sandiego
75,sandiego
28750,sfbay
28750,sfbay
16588,sfbay
16588,sfbay
16588,sfbay
19995,dallas
19995,dallas
19995,dallas
19995,dallas
46995,dallas
46995,dallas
19995,dallas
19995,dallas
20000,dallas
20000,dallas
500,dallas
500,dallas
46995,dallas
46995,dallas
19995,dallas
19995,dallas
28500,dallas
185,losangeles
185,losangeles
180,losangeles
180,losangeles
350,losangeles
350,losangeles
1400,losangeles
1400,losangeles
100,losangeles
100,losangeles
65,losangeles
65,losangeles
15999,losangeles
15999,losangeles
24950,losangeles
24950,losangeles
295,losangeles
295,losangeles
269,losangeles
24900,phoenix
13995,phoenix
13995,phoenix
48900,phoenix
48900,phoenix
59910,phoenix
59910,phoenix
47900,phoenix
47900,phoenix
43995,phoenix
43995,phoenix
21900,phoenix
21900,phoenix
23888,phoenix
6900,newyork
3321,newyork
3321,newyork
425,newyork
425,newyork
425,newyork
425,newyork
8995,newyork
8995,newyork
8,newyork
8,newyork
7,newyork
7,newyork
2003,newyork
11000,philadelphia
39999,philadelphia
39999,philadelphia
25,philadelphia
25,philadelphia
8500,chicago
150,chicago
150,chicago
60,chicago
